iter	Passed	Remaining
0	1	163
1	3	157
2	4	156
3	6	150
4	7	147
5	9	144
6	10	143
7	12	141
8	13	137
9	15	136
10	16	136
11	18	135
12	20	134
13	21	134
14	23	133
15	25	131
16	26	129
17	27	126
18	29	124
19	30	121
20	31	118
21	32	116
22	34	113
23	35	111
24	36	109
25	37	107
26	38	105
27	40	102
28	40	100
29	41	97
30	42	95
31	43	93
32	44	90
33	45	88
34	46	86
35	47	84
36	48	82
37	49	80
38	49	78
39	50	76
40	51	74
41	51	71
42	52	69
43	53	68
44	54	66
45	55	65
46	56	63
47	57	62
48	58	60
49	59	59
50	59	57
51	60	56
52	61	54
53	62	53
54	63	51
55	64	50
56	64	48
57	65	47
58	66	46
59	67	44
60	68	43
61	68	42
62	69	40
63	70	39
64	71	38
65	72	37
66	72	35
67	73	34
68	74	33
69	75	32
70	76	31
71	77	30
72	77	28
73	78	27
74	79	26
75	80	25
76	81	24
77	82	23
78	83	22
79	84	21
80	85	19
81	85	18
82	86	17
83	87	16
84	88	15
85	89	14
86	90	13
87	91	12
88	92	11
89	92	10
90	93	9
91	94	8
92	95	7
93	96	6
94	97	5
95	98	4
96	99	3
97	99	2
98	100	1
99	101	0
